"filename", "language", "Vue", "JSON", "JavaScript", "SCSS", "TypeScript", "Properties", "comment", "blank", "total"
"e:\WXAPP\CAUC_Booking\src\.env", "Properties", 0, 0, 0, 0, 0, 2, 0, 0, 2
"e:\WXAPP\CAUC_Booking\src\App.vue", "Vue", 16, 0, 0, 0, 0, 0, 0, 2, 18
"e:\WXAPP\CAUC_Booking\src\components\block\dateBlock.vue", "Vue", 58, 0, 0, 0, 0, 0, 82, 6, 146
"e:\WXAPP\CAUC_Booking\src\components\block\orderBlock.vue", "Vue", 73, 0, 0, 0, 0, 0, 0, 5, 78
"e:\WXAPP\CAUC_Booking\src\components\block\timeBlock.vue", "Vue", 52, 0, 0, 0, 0, 0, 0, 6, 58
"e:\WXAPP\CAUC_Booking\src\components\bottomBlock\bottomBlock.vue", "Vue", 31, 0, 0, 0, 0, 0, 0, 3, 34
"e:\WXAPP\CAUC_Booking\src\components\calendar\calendar.vue", "Vue", 130, 0, 0, 0, 0, 0, 0, 12, 142
"e:\WXAPP\CAUC_Booking\src\components\checkbox\checkGroup.vue", "Vue", 65, 0, 0, 0, 0, 0, 60, 5, 130
"e:\WXAPP\CAUC_Booking\src\components\checkbox\customCheckBox.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 7, 15
"e:\WXAPP\CAUC_Booking\src\components\drawer\drawer.vue", "Vue", 68, 0, 0, 0, 0, 0, 0, 8, 76
"e:\WXAPP\CAUC_Booking\src\components\header\header.vue", "Vue", 112, 0, 0, 0, 0, 0, 0, 11, 123
"e:\WXAPP\CAUC_Booking\src\components\header\staticHeader.vue", "Vue", 75, 0, 0, 0, 0, 0, 0, 7, 82
"e:\WXAPP\CAUC_Booking\src\components\input\customInput.vue", "Vue", 52, 0, 0, 0, 0, 0, 0, 4, 56
"e:\WXAPP\CAUC_Booking\src\components\linkButton\linkButton.vue", "Vue", 53, 0, 0, 0, 0, 0, 0, 5, 58
"e:\WXAPP\CAUC_Booking\src\components\messageBox\messageBox.vue", "Vue", 17, 0, 0, 0, 0, 0, 0, 3, 20
"e:\WXAPP\CAUC_Booking\src\components\picker\picker.vue", "Vue", 105, 0, 0, 0, 0, 0, 0, 15, 120
"e:\WXAPP\CAUC_Booking\src\components\smallBlockList\smallBlockList.vue", "Vue", 60, 0, 0, 0, 0, 0, 0, 6, 66
"e:\WXAPP\CAUC_Booking\src\components\star\star.vue", "Vue", 16, 0, 0, 0, 0, 0, 0, 5, 21
"e:\WXAPP\CAUC_Booking\src\components\upload\uploadImgBlock.vue", "Vue", 30, 0, 0, 0, 0, 0, 0, 3, 33
"e:\WXAPP\CAUC_Booking\src\env.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 2
"e:\WXAPP\CAUC_Booking\src\global.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 3, 10
"e:\WXAPP\CAUC_Booking\src\layout\commonLayout\commonLayout.vue", "Vue", 62, 0, 0, 0, 0, 0, 0, 5, 67
"e:\WXAPP\CAUC_Booking\src\layout\indexLayout\indexLayout.vue", "Vue", 186, 0, 0, 0, 0, 0, 1, 9, 196
"e:\WXAPP\CAUC_Booking\src\layout\simpleLayout\simpleLayout.vue", "Vue", 51, 0, 0, 0, 0, 0, 0, 4, 55
"e:\WXAPP\CAUC_Booking\src\main.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"e:\WXAPP\CAUC_Booking\src\manifest.json", "JSON", 0, 64, 0, 0, 0, 0, 8, 1, 73
"e:\WXAPP\CAUC_Booking\src\pages.json", "JSON", 0, 97, 0, 0, 0, 0, 0, 5, 102
"e:\WXAPP\CAUC_Booking\src\pages\guide\guide.vue", "Vue", 15, 0, 0, 0, 0, 0, 0, 3, 18
"e:\WXAPP\CAUC_Booking\src\pages\index\index.vue", "Vue", 196, 0, 0, 0, 0, 0, 0, 10, 206
"e:\WXAPP\CAUC_Booking\src\pages\index\start.vue", "Vue", 9, 0, 0, 0, 0, 0, 0, 3, 12
"e:\WXAPP\CAUC_Booking\src\pages\order\order.vue", "Vue", 145, 0, 0, 0, 0, 0, 0, 7, 152
"e:\WXAPP\CAUC_Booking\src\pages\order\order_applicant.vue", "Vue", 553, 0, 0, 0, 0, 0, 19, 33, 605
"e:\WXAPP\CAUC_Booking\src\pages\order\order_date_time.vue", "Vue", 506, 0, 0, 0, 0, 0, 2, 14, 522
"e:\WXAPP\CAUC_Booking\src\pages\order\order_status.vue", "Vue", 183, 0, 0, 0, 0, 0, 0, 8, 191
"e:\WXAPP\CAUC_Booking\src\pages\test\test.vue", "Vue", 57, 0, 0, 0, 0, 0, 0, 7, 64
"e:\WXAPP\CAUC_Booking\src\pages\user\user.vue", "Vue", 92, 0, 0, 0, 0, 0, 1, 4, 97
"e:\WXAPP\CAUC_Booking\src\shime-uni.d.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\WXAPP\CAUC_Booking\src\uni.scss", "SCSS", 0, 0, 0, 37, 0, 0, 26, 15, 78
"e:\WXAPP\CAUC_Booking\src\utils\fn\index.js", "JavaScript", 0, 0, 44, 0, 0, 0, 2, 5, 51
"e:\WXAPP\CAUC_Booking\src\utils\http\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"e:\WXAPP\CAUC_Booking\src\utils\http\order.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 2, 16
"Total", "-", 3076, 161, 70, 44, 5, 2, 202, 257, 3817
