"filename", "language", "TypeScript", "SCSS", "JavaScript", "Vue", "JSON", "Properties", "comment", "blank", "total"
"e:\cauc_museum\CAUC_Booking\src\.env", "Properties", 0, 0, 0, 0, 0, 2, 0, 0, 2
"e:\cauc_museum\CAUC_Booking\src\App.vue", "Vue", 0, 0, 0, 16, 0, 0, 0, 2, 18
"e:\cauc_museum\CAUC_Booking\src\components\block\dateBlock.vue", "Vue", 0, 0, 0, 73, 0, 0, 0, 7, 80
"e:\cauc_museum\CAUC_Booking\src\components\block\orderBlock.vue", "Vue", 0, 0, 0, 73, 0, 0, 0, 5, 78
"e:\cauc_museum\CAUC_Booking\src\components\block\statusBlock.vue", "Vue", 0, 0, 0, 81, 0, 0, 0, 4, 85
"e:\cauc_museum\CAUC_Booking\src\components\block\timeBlock.vue", "Vue", 0, 0, 0, 65, 0, 0, 0, 9, 74
"e:\cauc_museum\CAUC_Booking\src\components\bottomBlock\bottomBlock.vue", "Vue", 0, 0, 0, 31, 0, 0, 0, 3, 34
"e:\cauc_museum\CAUC_Booking\src\components\calendar\calendar.vue", "Vue", 0, 0, 0, 160, 0, 0, 0, 10, 170
"e:\cauc_museum\CAUC_Booking\src\components\checkbox\checkGroup.vue", "Vue", 0, 0, 0, 79, 0, 0, 0, 4, 83
"e:\cauc_museum\CAUC_Booking\src\components\checkbox\customCheckBox.vue", "Vue", 0, 0, 0, 8, 0, 0, 0, 7, 15
"e:\cauc_museum\CAUC_Booking\src\components\drawer\drawer.vue", "Vue", 0, 0, 0, 74, 0, 0, 0, 8, 82
"e:\cauc_museum\CAUC_Booking\src\components\header\header.vue", "Vue", 0, 0, 0, 112, 0, 0, 0, 11, 123
"e:\cauc_museum\CAUC_Booking\src\components\header\staticHeader.vue", "Vue", 0, 0, 0, 75, 0, 0, 0, 7, 82
"e:\cauc_museum\CAUC_Booking\src\components\input\customInput.vue", "Vue", 0, 0, 0, 57, 0, 0, 0, 4, 61
"e:\cauc_museum\CAUC_Booking\src\components\linkButton\linkButton.vue", "Vue", 0, 0, 0, 53, 0, 0, 0, 5, 58
"e:\cauc_museum\CAUC_Booking\src\components\loading\commonLoading.vue", "Vue", 0, 0, 0, 110, 0, 0, 1, 21, 132
"e:\cauc_museum\CAUC_Booking\src\components\messageBox\messageBox.vue", "Vue", 0, 0, 0, 82, 0, 0, 41, 11, 134
"e:\cauc_museum\CAUC_Booking\src\components\picker\picker.vue", "Vue", 0, 0, 0, 105, 0, 0, 0, 13, 118
"e:\cauc_museum\CAUC_Booking\src\components\smallBlockList\smallBlockList.vue", "Vue", 0, 0, 0, 60, 0, 0, 0, 6, 66
"e:\cauc_museum\CAUC_Booking\src\components\star\star.vue", "Vue", 0, 0, 0, 16, 0, 0, 0, 5, 21
"e:\cauc_museum\CAUC_Booking\src\components\upload\uploadImg.vue", "Vue", 0, 0, 0, 30, 0, 0, 0, 3, 33
"e:\cauc_museum\CAUC_Booking\src\components\upload\uploadPdf.vue", "Vue", 0, 0, 0, 43, 0, 0, 0, 6, 49
"e:\cauc_museum\CAUC_Booking\src\components\upload\uploadtest.vue", "Vue", 0, 0, 0, 30, 0, 0, 0, 3, 33
"e:\cauc_museum\CAUC_Booking\src\env.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 2
"e:\cauc_museum\CAUC_Booking\src\global.scss", "SCSS", 0, 45, 0, 0, 0, 0, 0, 11, 56
"e:\cauc_museum\CAUC_Booking\src\layout\commonLayout\commonLayout.vue", "Vue", 0, 0, 0, 62, 0, 0, 0, 5, 67
"e:\cauc_museum\CAUC_Booking\src\layout\indexLayout\indexLayout.vue", "Vue", 0, 0, 0, 186, 0, 0, 1, 9, 196
"e:\cauc_museum\CAUC_Booking\src\layout\simpleLayout\simpleLayout.vue", "Vue", 0, 0, 0, 53, 0, 0, 0, 3, 56
"e:\cauc_museum\CAUC_Booking\src\main.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"e:\cauc_museum\CAUC_Booking\src\manifest.json", "JSON", 0, 0, 0, 0, 64, 0, 8, 1, 73
