"filename", "language", "Vue", "JavaScript", "JSON", "SCSS", "TypeScript", "Properties", "comment", "blank", "total"
"e:\cauc_museum\CAUC_Booking\src\.env", "Properties", 0, 0, 0, 0, 0, 2, 0, 0, 2
"e:\cauc_museum\CAUC_Booking\src\App.vue", "Vue", 16, 0, 0, 0, 0, 0, 0, 2, 18
"e:\cauc_museum\CAUC_Booking\src\components\block\dateBlock.vue", "Vue", 73, 0, 0, 0, 0, 0, 0, 7, 80
"e:\cauc_museum\CAUC_Booking\src\components\block\orderBlock.vue", "Vue", 73, 0, 0, 0, 0, 0, 0, 5, 78
"e:\cauc_museum\CAUC_Booking\src\components\block\statusBlock.vue", "Vue", 81, 0, 0, 0, 0, 0, 0, 4, 85
"e:\cauc_museum\CAUC_Booking\src\components\block\timeBlock.vue", "Vue", 65, 0, 0, 0, 0, 0, 0, 9, 74
"e:\cauc_museum\CAUC_Booking\src\components\bottomBlock\bottomBlock.vue", "Vue", 31, 0, 0, 0, 0, 0, 0, 3, 34
"e:\cauc_museum\CAUC_Booking\src\components\calendar\calendar.vue", "Vue", 160, 0, 0, 0, 0, 0, 0, 10, 170
"e:\cauc_museum\CAUC_Booking\src\components\checkbox\checkGroup.vue", "Vue", 79, 0, 0, 0, 0, 0, 0, 4, 83
"e:\cauc_museum\CAUC_Booking\src\components\checkbox\customCheckBox.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 7, 15
"e:\cauc_museum\CAUC_Booking\src\components\drawer\drawer.vue", "Vue", 74, 0, 0, 0, 0, 0, 0, 8, 82
"e:\cauc_museum\CAUC_Booking\src\components\header\header.vue", "Vue", 126, 0, 0, 0, 0, 0, 0, 12, 138
"e:\cauc_museum\CAUC_Booking\src\components\header\staticHeader.vue", "Vue", 92, 0, 0, 0, 0, 0, 0, 7, 99
"e:\cauc_museum\CAUC_Booking\src\components\input\customInput.vue", "Vue", 57, 0, 0, 0, 0, 0, 0, 4, 61
"e:\cauc_museum\CAUC_Booking\src\components\lazyImg\lazyImg.vue", "Vue", 81, 0, 0, 0, 0, 0, 0, 5, 86
"e:\cauc_museum\CAUC_Booking\src\components\linkButton\linkButton.vue", "Vue", 53, 0, 0, 0, 0, 0, 0, 5, 58
"e:\cauc_museum\CAUC_Booking\src\components\loading\commonLoading.vue", "Vue", 110, 0, 0, 0, 0, 0, 1, 21, 132
"e:\cauc_museum\CAUC_Booking\src\components\loading\uploadLoading.vue", "Vue", 186, 0, 0, 0, 0, 0, 0, 43, 229
"e:\cauc_museum\CAUC_Booking\src\components\messageBox\messageBox.vue", "Vue", 81, 0, 0, 0, 0, 0, 41, 11, 133
"e:\cauc_museum\CAUC_Booking\src\components\picker\picker.vue", "Vue", 104, 0, 0, 0, 0, 0, 0, 13, 117
"e:\cauc_museum\CAUC_Booking\src\components\smallBlockList\smallBlockList.vue", "Vue", 60, 0, 0, 0, 0, 0, 0, 6, 66
"e:\cauc_museum\CAUC_Booking\src\components\star\star.vue", "Vue", 16, 0, 0, 0, 0, 0, 0, 5, 21
"e:\cauc_museum\CAUC_Booking\src\components\toast\CustomToast.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\cauc_museum\CAUC_Booking\src\components\transiton\config.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\cauc_museum\CAUC_Booking\src\components\transiton\fadeTransiton.vue", "Vue", 75, 0, 0, 0, 0, 0, 0, 7, 82
"e:\cauc_museum\CAUC_Booking\src\components\upload\uploadImg.vue", "Vue", 111, 0, 0, 0, 0, 0, 0, 9, 120
"e:\cauc_museum\CAUC_Booking\src\components\upload\uploadPdf.vue", "Vue", 115, 0, 0, 0, 0, 0, 0, 10, 125
"e:\cauc_museum\CAUC_Booking\src\env.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 2
"e:\cauc_museum\CAUC_Booking\src\global.scss", "SCSS", 0, 0, 0, 45, 0, 0, 0, 11, 56
"e:\cauc_museum\CAUC_Booking\src\layout\commonLayout\commonLayout.vue", "Vue", 72, 0, 0, 0, 0, 0, 0, 5, 77
"e:\cauc_museum\CAUC_Booking\src\layout\indexLayout\indexLayout.vue", "Vue", 207, 0, 0, 0, 0, 0, 1, 10, 218
"e:\cauc_museum\CAUC_Booking\src\layout\simpleLayout\simpleLayout.vue", "Vue", 53, 0, 0, 0, 0, 0, 0, 3, 56
"e:\cauc_museum\CAUC_Booking\src\main.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"e:\cauc_museum\CAUC_Booking\src\manifest.json", "JSON", 0, 0, 64, 0, 0, 0, 8, 1, 73
